"Table 5: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLD71,East Merseyside,"6,133","6,434","6,651","6,939","7,232","7,717","7,957","8,180","8,753","8,840","9,189","9,114","9,603","9,773","9,601","10,132","10,651","10,977","11,286","11,703","11,907","12,391","11,482","12,815","13,662","14,695"
ITL3,TLD72,Liverpool,"6,561","6,925","7,328","7,776","8,232","9,034","9,634","10,155","11,051","11,054","11,596","12,045","12,301","12,488","12,259","12,511","13,118","13,458","13,706","14,286","14,582","15,723","15,080","16,978","18,745","20,347"
ITL3,TLD73,Sefton,"2,496","2,670","2,753","2,920","3,110","3,306","3,479","3,571","3,775","3,831","3,957","3,967","4,116","4,082","4,065","4,174","4,333","4,461","4,633","4,821","4,967","5,059","4,935","5,639","5,999","6,376"
ITL3,TLD74,Wirral,"3,001","3,215","3,312","3,492","3,692","3,958","4,216","4,289","4,525","4,598","4,741","4,729","4,879","4,975","5,014","5,164","5,367","5,607","5,573","5,815","5,946","6,274","6,112","6,515","7,125","7,778"
ITL1,TLE,Yorkshire and The Humber,"70,456","73,001","75,576","79,082","83,370","88,989","94,240","98,871","103,602","109,275","110,464","107,464","109,661","112,813","115,506","118,796","122,794","128,039","131,196","137,542","141,758","146,756","139,275","155,143","169,640","182,509"
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,"12,112","12,252","12,823","13,407","14,188","15,280","16,130","16,831","17,658","18,636","19,554","18,751","18,693","18,521","18,815","19,348","20,017","21,163","21,702","22,706","23,312","24,734","22,973","27,128","28,366","29,857"
ITL3,TLE11,"Kingston upon Hull, City of","3,415","3,517","3,725","3,897","4,159","4,466","4,606","4,813","5,250","5,497","6,018","5,973","5,758","5,619","5,704","5,757","5,832","6,124","6,341","6,592","6,803","6,918","6,200","7,232","7,621","8,300"
ITL3,TLE12,East Riding of Yorkshire,"4,174","4,187","4,367","4,584","4,945","5,266","5,642","5,860","6,179","6,278","6,353","6,041","5,956","6,052","6,216","6,441","6,762","7,052","7,211","7,512","7,982","8,325","7,962","9,201","9,819","10,564"
ITL3,TLE13,North and North East Lincolnshire,"4,524","4,548","4,731","4,926","5,084","5,548","5,883","6,158","6,229","6,861","7,183","6,737","6,980","6,850","6,894","7,150","7,423","7,988","8,150","8,601","8,527","9,491","8,812","10,695","10,926","10,993"
ITL2,TLE2,North Yorkshire,"11,792","12,185","12,751","13,420","14,551","15,393","16,246","16,820","17,467","18,426","18,704","18,063","18,406","19,292","19,681","20,298","20,814","21,228","22,127","23,547","23,827","24,580","23,018","26,237","29,017","31,711"
ITL3,TLE21,York,"3,409","3,574","3,753","3,981","4,296","4,574","4,961","5,121","5,176","5,462","5,476","5,263","5,450","5,670","5,808","5,886","6,064","6,203","6,475","6,894","7,046","7,089","6,472","7,436","8,464","9,279"
ITL3,TLE22,North Yorkshire,"8,383","8,611","8,999","9,438","10,255","10,819","11,286","11,699","12,291","12,964","13,228","12,800","12,955","13,622","13,873","14,412","14,750","15,025","15,652","16,654","16,781","17,492","16,545","18,801","20,553","22,433"
ITL2,TLE3,South Yorkshire,"15,560","15,787","16,411","17,436","18,453","19,665","20,881","21,718","22,845","24,318","24,114","23,441","24,323","25,176","25,893","26,571","27,623","28,718","29,250","30,523","30,934","32,280","31,377","33,717","37,031","39,661"
ITL3,TLE32,Sheffield,"7,295","7,401","7,732","8,359","8,911","9,522","10,115","10,571","11,165","11,841","11,694","11,656","11,997","12,426","12,645","13,025","13,371","13,739","13,906","14,146","14,243","14,938","14,752","15,912","17,499","19,052"
ITL3,TLE33,Barnsley,"2,309","2,328","2,409","2,518","2,624","2,793","2,986","3,093","3,225","3,451","3,388","3,236","3,384","3,537","3,656","3,799","3,994","4,116","4,201","4,403","4,582","4,793","4,590","4,975","5,491","5,843"
ITL3,TLE34,Rotherham,"2,842","2,876","2,981","3,124","3,300","3,501","3,650","3,799","3,937","4,210","4,212","4,004","4,211","4,381","4,648","4,673","4,859","5,070","5,185","5,446","5,509","5,711","5,416","5,770","6,229","6,493"
ITL3,TLE35,Doncaster,"3,114","3,181","3,289","3,435","3,617","3,849","4,130","4,255","4,517","4,816","4,820","4,546","4,731","4,832","4,944","5,073","5,398","5,793","5,958","6,527","6,599","6,838","6,619","7,060","7,812","8,273"
ITL2,TLE4,West Yorkshire,"30,992","32,777","33,590","34,820","36,178","38,651","40,982","43,502","45,632","47,895","48,092","47,209","48,239","49,824","51,118","52,579","54,340","56,930","58,117","60,766","63,685","65,162","61,907","68,061","75,226","81,279"
ITL3,TLE41,Bradford,"5,915","6,232","6,314","6,541","6,771","7,151","7,560","7,946","8,228","8,638","8,899","8,728","8,869","9,286","9,496","9,714","9,852","10,203","10,479","11,010","11,169","11,290","11,051","11,938","12,812","13,414"
ITL3,TLE42,Leeds,"13,493","14,378","14,828","15,407","16,163","17,497","18,791","20,120","21,364","22,543","22,425","22,189","22,780","23,370","23,940","24,634","25,361","26,298","26,687","27,549","29,107","30,043","28,191","31,287","35,871","39,323"
