"Table 5: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLM31,East Dunbartonshire and West Dunbartonshire,"1,903","1,961","2,037","2,160","2,231","2,351","2,496","2,651","2,795","2,816","2,919","2,815","2,838","2,971","2,987","3,063","3,286","3,369","3,545","3,756","3,910","4,039","3,670","4,065","4,459","4,939"
ITL3,TLM32,Glasgow City,"11,620","12,030","12,479","13,250","13,492","14,233","15,469","16,668","17,584","18,210","18,798","18,648","18,379","19,065","19,415","20,368","21,003","21,211","21,651","22,854","23,336","24,575","23,661","26,080","29,074","31,757"
ITL3,TLM33,"Inverclyde, East Renfrewshire, and Renfrewshire","4,249","4,303","4,537","4,768","4,944","5,143","5,446","5,649","5,896","5,878","6,192","5,939","5,972","6,270","6,444","6,688","7,236","7,418","7,429","7,794","7,912","8,060","7,573","8,427","8,663","9,249"
ITL3,TLM34,North Lanarkshire,"4,330","4,377","4,526","4,803","4,997","5,292","5,595","5,921","6,250","6,360","6,725","6,501","6,561","6,773","6,942","7,240","7,997","8,087","8,323","8,907","9,142","9,538","9,122","9,857","10,549","11,687"
ITL2,TLM5,North Eastern Scotland,"8,991","9,032","9,268","9,966","10,396","10,557","11,149","11,822","13,372","14,900","16,341","15,935","16,528","17,205","18,123","19,473","20,410","19,853","18,463","18,420","18,578","18,857","16,876","17,358","18,938","20,200"
ITL3,TLM50,Aberdeen City and Aberdeenshire,"8,991","9,032","9,268","9,966","10,396","10,557","11,149","11,822","13,372","14,900","16,341","15,935","16,528","17,205","18,123","19,473","20,410","19,853","18,463","18,420","18,578","18,857","16,876","17,358","18,938","20,200"
ITL2,TLM9,Southern Scotland,"11,731","12,039","12,524","13,132","13,548","14,247","14,872","15,824","16,919","17,232","18,034","17,608","17,857","18,419","18,871","19,622","20,493","20,716","21,096","22,199","22,366","23,103","21,661","23,082","24,814","26,913"
ITL3,TLM91,Scottish Borders,"1,460","1,460","1,507","1,575","1,640","1,703","1,743","1,846","1,967","2,005","2,077","2,019","2,076","2,161","2,204","2,307","2,478","2,532","2,547","2,671","2,788","2,870","2,708","2,925","3,054","3,206"
ITL3,TLM92,Dumfries and Galloway,"2,090","2,172","2,302","2,449","2,504","2,655","2,742","2,885","3,039","3,080","3,247","3,150","3,136","3,286","3,366","3,532","3,695","3,697","3,768","3,973","3,959","4,163","3,904","4,126","4,338","4,665"
ITL3,TLM93,North Ayrshire and East Ayrshire,"2,668","2,778","2,883","2,991","3,024","3,158","3,280","3,524","3,767","3,884","4,039","3,926","4,021","4,115","4,236","4,383","4,514","4,560","4,649","4,856","4,856","5,010","4,849","5,227","5,589","6,137"
ITL3,TLM94,South Ayrshire,"1,544","1,582","1,693","1,764","1,837","1,900","2,015","2,123","2,245","2,239","2,334","2,296","2,366","2,434","2,438","2,456","2,581","2,632","2,665","2,790","2,862","2,917","2,587","2,760","3,069","3,361"
ITL3,TLM95,South Lanarkshire,"3,968","4,047","4,139","4,353","4,543","4,831","5,092","5,446","5,901","6,024","6,336","6,218","6,258","6,423","6,628","6,944","7,225","7,295","7,466","7,910","7,900","8,143","7,612","8,044","8,764","9,543"
ITL1,TLN,Northern Ireland,"22,285","23,604","25,388","26,500","27,376","29,506","30,908","32,738","34,728","36,171","36,523","35,642","35,838","37,057","38,458","39,663","40,871","42,348","44,721","46,559","47,648","50,075","47,589","52,872","57,558","63,265"
ITL2,TLN0,Northern Ireland,"22,285","23,604","25,388","26,500","27,376","29,506","30,908","32,738","34,728","36,171","36,523","35,642","35,838","37,057","38,458","39,663","40,871","42,348","44,721","46,559","47,648","50,075","47,589","52,872","57,558","63,265"
ITL3,TLN06,Belfast,"6,120","6,509","7,007","7,391","7,691","8,433","8,951","9,464","9,986","10,469","10,635","10,592","10,372","10,758","11,013","11,643","11,792","12,238","13,076","13,911","14,302","14,855","14,074","16,124","17,673","19,651"
ITL3,TLN07,"Armagh City, Banbridge and Craigavon","1,920","2,023","2,162","2,320","2,386","2,543","2,668","2,841","3,029","3,226","3,238","3,114","3,198","3,329","3,417","3,622","3,794","3,939","4,220","4,384","4,612","4,852","4,570","5,072","5,478","6,119"
ITL3,TLN08,"Newry, Mourne and Down","1,547","1,649","1,776","1,875","1,935","2,076","2,181","2,324","2,472","2,561","2,624","2,499","2,529","2,688","2,796","2,936","3,108","3,187","3,380","3,508","3,632","3,862","3,661","3,990","4,342","4,727"
ITL3,TLN09,Ards and North Down,"1,274","1,346","1,434","1,511","1,569","1,676","1,726","1,851","1,974","2,050","2,074","1,964","1,975","2,078","2,139","2,102","2,190","2,216","2,407","2,541","2,621","2,706","2,590","2,805","2,998","3,216"
ITL3,TLN0A,Derry City and Strabane,"1,507","1,588","1,656","1,722","1,774","1,980","2,031","2,213","2,377","2,399","2,479","2,451","2,455","2,544","2,644","2,689","2,742","2,793","2,975","3,149","3,209","3,442","3,403","3,663","4,020","4,255"
ITL3,TLN0B,Mid Ulster,"1,733","1,848","2,018","2,091","2,140","2,358","2,447","2,623","2,780","2,921","2,829","2,560","2,710","2,791","2,851","3,047","3,207","3,335","3,502","3,644","3,915","4,213","3,863","4,322","4,834","5,215"
ITL3,TLN0C,Causeway Coast and Glens,"1,330","1,415","1,555","1,586","1,637","1,772","1,836","1,950","2,087","2,152","2,154","2,069","2,123","2,243","2,303","2,326","2,364","2,377","2,537","2,652","2,634","2,729","2,533","2,844","3,087","3,329"
ITL3,TLN0D,Antrim and Newtownabbey,"1,835","1,943","2,082","2,193","2,256","2,369","2,468","2,578","2,742","2,904","2,867","2,740","2,812","2,937","3,006","3,017","3,205","3,306","3,433","3,637","3,707","3,918","3,850","4,121","4,334","4,838"
ITL3,TLN0E,Lisburn and Castlereagh,"1,646","1,741","1,872","1,985","2,038","2,181","2,248","2,392","2,537","2,645","2,647","2,587","2,619","2,718","2,833","2,913","3,015","3,150","3,311","3,414","3,616","3,841","3,610","4,008","4,388","4,850"
ITL3,TLN0F,Mid and East Antrim,"2,126","2,228","2,431","2,361","2,431","2,483","2,636","2,642","2,768","2,821","2,943","3,110","3,081","2,958","3,327","3,319","3,273","3,597","3,532","3,229","2,809","2,947","2,811","3,056","3,316","3,680"
ITL3,TLN0G,Fermanagh and Omagh,"1,245","1,314","1,394","1,464","1,518","1,634","1,717","1,862","1,976","2,023","2,033","1,955","1,963","2,013","2,129","2,049","2,183","2,209","2,350","2,489","2,590","2,712","2,622","2,866","3,089","3,386"
Other,TLZ,Extra-Regio,"11,900","13,370","20,063","19,749","17,339","17,749","19,027","22,312","23,380","22,605","26,913","18,562","23,953","26,185","23,320","21,761","17,641","10,505","10,507","14,755","20,181","18,506","12,208","18,831","37,284","30,180"
UK,UKX,United Kingdom less Extra-Regio,"986,601","1,029,878","1,080,689","1,126,386","1,174,100","1,240,585","1,303,610","1,376,437","1,448,658","1,522,032","1,566,687","1,530,240","1,584,600","1,636,405","1,690,395","1,759,600","1,844,873","1,905,946","1,981,138","2,067,727","2,132,123","2,215,415","2,091,278","2,266,569","2,489,144","2,689,849"
