Public_health_unit,Antigen,Age,Year,Coverage
Brant County Health Unit,Measles,8,2023-2024,92.2
Brant County Health Unit,Measles,9,2023-2024,93.1
Brant County Health Unit,Measles,10,2023-2024,70.7
Brant County Health Unit,Measles,11,2023-2024,83.4
Brant County Health Unit,Measles,12,2023-2024,90.3
Brant County Health Unit,Measles,13,2023-2024,91
Brant County Health Unit,Measles,14,2023-2024,89.4
Brant County Health Unit,Measles,15,2023-2024,90.1
Brant County Health Unit,Measles,16,2023-2024,93.8
Brant County Health Unit,Mumps,5,2023-2024,25
Brant County Health Unit,Mumps,6,2023-2024,48.1
Brant County Health Unit,Mumps,8,2023-2024,92
Brant County Health Unit,Mumps,9,2023-2024,92.8
Brant County Health Unit,Mumps,10,2023-2024,70.4
Brant County Health Unit,Mumps,11,2023-2024,83.4
Brant County Health Unit,Mumps,12,2023-2024,90.3
Brant County Health Unit,Mumps,13,2023-2024,90.8
Brant County Health Unit,Mumps,14,2023-2024,89.4
Brant County Health Unit,Mumps,15,2023-2024,89.9
Brant County Health Unit,Mumps,16,2023-2024,93.6
Brant County Health Unit,Pertussis,5,2023-2024,24.3
Brant County Health Unit,Pertussis,6,2023-2024,46.7
Brant County Health Unit,Pertussis,8,2023-2024,91.6
Brant County Health Unit,Pertussis,9,2023-2024,92.3
Brant County Health Unit,Pertussis,10,2023-2024,69.4
Brant County Health Unit,Pertussis,11,2023-2024,82.4
Brant County Health Unit,Pertussis,12,2023-2024,90.1
Brant County Health Unit,Pertussis,13,2023-2024,90.4
Brant County Health Unit,Pertussis,14,2023-2024,47.7
Brant County Health Unit,Pertussis,15,2023-2024,41.2
Brant County Health Unit,Pertussis,16,2023-2024,82.4
Brant County Health Unit,Pneumo,5,2023-2024,43.3
Brant County Health Unit,Pneumo,6,2023-2024,57.3
Brant County Health Unit,Pneumo,8,2023-2024,80
Brant County Health Unit,Pneumo,9,2023-2024,79.7
Brant County Health Unit,Pneumo,10,2023-2024,73.8
Brant County Health Unit,Pneumo,11,2023-2024,78.2
Brant County Health Unit,Pneumo,12,2023-2024,76.6
Brant County Health Unit,Polio,5,2023-2024,25.6
Brant County Health Unit,Polio,6,2023-2024,48.1
Brant County Health Unit,Polio,8,2023-2024,92.8
Brant County Health Unit,Polio,9,2023-2024,93.7
Brant County Health Unit,Polio,10,2023-2024,71
Brant County Health Unit,Polio,11,2023-2024,83.3
Brant County Health Unit,Polio,12,2023-2024,90.5
Brant County Health Unit,Polio,13,2023-2024,90.7
Brant County Health Unit,Polio,14,2023-2024,87.1
Brant County Health Unit,Polio,15,2023-2024,88.3
Brant County Health Unit,Polio,16,2023-2024,92.4
Brant County Health Unit,Rota,5,2023-2024,36.9
Brant County Health Unit,Rota,6,2023-2024,56.6
Brant County Health Unit,Rubella,5,2023-2024,57.8
Brant County Health Unit,Rubella,6,2023-2024,72.3
Brant County Health Unit,Rubella,8,2023-2024,95.3
Brant County Health Unit,Rubella,9,2023-2024,96.5
Brant County Health Unit,Rubella,10,2023-2024,89
Brant County Health Unit,Rubella,11,2023-2024,91.9
Brant County Health Unit,Rubella,12,2023-2024,93.1
Brant County Health Unit,Rubella,13,2023-2024,93.8
Brant County Health Unit,Rubella,14,2023-2024,91.6
Brant County Health Unit,Rubella,15,2023-2024,92.2
Brant County Health Unit,Rubella,16,2023-2024,96.2
Brant County Health Unit,Tetanus,5,2023-2024,24.3
Brant County Health Unit,Tetanus,6,2023-2024,46.7
Brant County Health Unit,Tetanus,8,2023-2024,91.6
Brant County Health Unit,Tetanus,9,2023-2024,92.4
Brant County Health Unit,Tetanus,10,2023-2024,69.5
Brant County Health Unit,Tetanus,11,2023-2024,82.6
Brant County Health Unit,Tetanus,12,2023-2024,90.1
Brant County Health Unit,Tetanus,13,2023-2024,90.5
Brant County Health Unit,Tetanus,14,2023-2024,47.7
Brant County Health Unit,Tetanus,15,2023-2024,41.3
Brant County Health Unit,Tetanus,16,2023-2024,82.3
Brant County Health Unit,Varicella,5,2023-2024,23.6
Brant County Health Unit,Varicella,6,2023-2024,46.3
Brant County Health Unit,Varicella,8,2023-2024,91.6
Brant County Health Unit,Varicella,9,2023-2024,91.2
Brant County Health Unit,Varicella,10,2023-2024,67
Brant County Health Unit,Varicella,11,2023-2024,80.8
Brant County Health Unit,Varicella,12,2023-2024,87.5
Durham Region Health Department,HepB,12,2023-2024,67.9
Durham Region Health Department,HPV,12,2023-2024,60.2
Durham Region Health Department,Diphtheria,17,2023-2024,71.8
Durham Region Health Department,HPV,17,2023-2024,75.5
Durham Region Health Department,Pertussis,17,2023-2024,72.5
Durham Region Health Department,Tetanus,17,2023-2024,71.8
Durham Region Health Department,Hib,7,2023-2024,83.8
Durham Region Health Department,Pneumo,7,2023-2024,82.2
Durham Region Health Department,Rota,7,2023-2024,79.6
Durham Region Health Department,HepB,17,2023-2024,82.7
Durham Region Health Department,MCV4,12,2023-2024,84.4
Durham Region Health Department,Diphtheria,7,2023-2024,86.3
Durham Region Health Department,MCC,7,2023-2024,93.4
Durham Region Health Department,Measles,7,2023-2024,86.7
Durham Region Health Department,Mumps,7,2023-2024,86.5
Durham Region Health Department,Pertussis,7,2023-2024,86.3
Durham Region Health Department,Polio,7,2023-2024,86.9
Durham Region Health Department,Rubella,7,2023-2024,94.5
Durham Region Health Department,Tetanus,7,2023-2024,86.3
Durham Region Health Department,Varicella,7,2023-2024,85.1
Durham Region Health Department,Polio,17,2023-2024,93.6
Durham Region Health Department,MCV4,17,2023-2024,94.8
Durham Region Health Department,Measles,17,2023-2024,95.6
Durham Region Health Department,Mumps,17,2023-2024,95.4
Durham Region Health Department,Rubella,17,2023-2024,97
Durham Region Health Department,Diphtheria,5,2023-2024,35.8
Durham Region Health Department,Diphtheria,6,2023-2024,39.8
Durham Region Health Department,Diphtheria,8,2023-2024,69.8
Durham Region Health Department,Diphtheria,9,2023-2024,76.3
Durham Region Health Department,Diphtheria,10,2023-2024,91.4
Durham Region Health Department,Diphtheria,11,2023-2024,93.4
Durham Region Health Department,Diphtheria,12,2023-2024,92.3
Durham Region Health Department,Diphtheria,13,2023-2024,93.2
Durham Region Health Department,Diphtheria,14,2023-2024,64
Durham Region Health Department,Diphtheria,15,2023-2024,77.2
Durham Region Health Department,Diphtheria,16,2023-2024,80.7
Durham Region Health Department,HepB,13,2023-2024,78
Durham Region Health Department,HepB,14,2023-2024,69.3
Durham Region Health Department,HepB,15,2023-2024,43.2
Durham Region Health Department,HepB,16,2023-2024,55.2
Durham Region Health Department,Hib,5,2023-2024,72.9
Durham Region Health Department,Hib,6,2023-2024,72.9
Durham Region Health Department,Hib,8,2023-2024,83.7
Durham Region Health Department,Hib,9,2023-2024,85.1
Durham Region Health Department,Hib,10,2023-2024,85.9
Durham Region Health Department,Hib,11,2023-2024,83.8
Durham Region Health Department,Hib,12,2023-2024,82.5
Durham Region Health Department,HPV,13,2023-2024,71.8
Durham Region Health Department,HPV,14,2023-2024,63.2
Durham Region Health Department,HPV,15,2023-2024,31.9
Durham Region Health Department,HPV,16,2023-2024,46.7
Durham Region Health Department,MCC,5,2023-2024,80.2
Durham Region Health Department,MCC,6,2023-2024,79.8
Durham Region Health Department,MCC,8,2023-2024,90.4
Durham Region Health Department,MCC,9,2023-2024,92.7
