Geography,Year,Immunization Type,Birth Cohort,Immunization Percent,Standard Error,Standard Score,Alberta Percent
Z2,2014,MMR Dose 1 by Age 17,1997,98.69000000000001,0.07,33.94,96.23
Z2,2015,MMR Dose 1 by Age 17,1998,98.89000000000001,0.06,37.690000000000005,96.51
Z2,2016,MMR Dose 1 by Age 17,1999,98.85000000000001,0.07,32.870000000000005,96.71000000000001
Z2,2017,MMR Dose 1 by Age 17,2000,98.91000000000001,0.06,32.0,96.94000000000001
Z2,2018,MMR Dose 1 by Age 17,2001,98.93,0.06,32.190000000000005,97.03
Z2,2019,MMR Dose 1 by Age 17,2002,98.83000000000001,0.06,25.8,97.22
Z2,2020,MMR Dose 1 by Age 17,2003,98.76,0.06,16.130000000000003,97.75
Z2,2021,MMR Dose 1 by Age 17,2004,98.85000000000001,0.06,17.130000000000003,97.84000000000002
Z2,2022,MMR Dose 1 by Age 17,2005,98.58,0.07,11.34,97.83000000000001
Z2,2023,MMR Dose 1 by Age 17,2006,98.23,0.08,12.42,97.27
Z2,2014,MMR Dose 1 by Age 2,2012,90.44000000000001,0.21000000000000002,11.51,88.05
Z2,2015,MMR Dose 1 by Age 2,2013,89.30000000000001,0.22,10.0,87.11000000000001
Z2,2016,MMR Dose 1 by Age 2,2014,89.69000000000001,0.21000000000000002,11.38,87.29
Z2,2017,MMR Dose 1 by Age 2,2015,89.53,0.21000000000000002,11.63,87.05
Z2,2018,MMR Dose 1 by Age 2,2016,89.7,0.21000000000000002,13.92,86.73
Z2,2019,MMR Dose 1 by Age 2,2017,90.15,0.21000000000000002,15.190000000000001,86.96000000000001
Z2,2020,MMR Dose 1 by Age 2,2018,90.08,0.22,15.89,86.65
Z2,2021,MMR Dose 1 by Age 2,2019,87.38000000000001,0.24000000000000002,17.3,83.2
Z2,2022,MMR Dose 1 by Age 2,2020,87.23,0.25,20.830000000000002,82.07
Z2,2023,MMR Dose 1 by Age 2,2021,86.53,0.24000000000000002,20.230000000000004,81.67
Z2,2014,MMR Dose 2 by Age 13,2001,95.76,0.15000000000000002,27.150000000000002,91.76
Z2,2015,MMR Dose 2 by Age 13,2002,95.51,0.15000000000000002,25.68,91.68
Z2,2016,MMR Dose 2 by Age 13,2003,94.43,0.16,19.85,91.18
