Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,Remoteness index,Less accessible areas,Females,0.414,0.356,0.471,,705,,42855,1.7,1.4,1.9,,1.7,1.4,1.9,,-2.366,-2.625,-2.107,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,Remoteness index,Accessible areas,Females,0.357,0.297,0.416,,700,,48525,1.4,1.2,1.7,,1.4,1.2,1.7,,-2.596,-2.861,-2.331,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,Remoteness index,Easily accessible areas [reference],Females,1,,,,28115,,696785,4,3.9,4.2,,4,3.9,4.1,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,Remoteness index,Remoteness unknown,Females,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,Neither English nor French,Both sexes,8.66,7.468,9.853,,3330,,21365,15.6,14.6,16.5,,26,22.5,29.4,,22.974,19.51,26.439,,88.453,86.85,90.056,,4.777,4.401,5.153,,0.178,0.165,0.192,,2943,2716,3170,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,English and French,Both sexes,2.402,2.254,2.55,,5640,,77030,7.3,6.9,7.7,,7.2,6.8,7.6,,4.204,3.781,4.627,,58.363,55.834,60.892,,5.343,4.814,5.872,,0.2,0.18,0.22,,3291,2961,3622,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,English in Quebec,Both sexes,2.027,1.945,2.109,,12005,,197365,6.1,5.8,6.3,,6.1,5.8,6.3,,3.08,2.849,3.311,,50.666,48.702,52.629,,9.877,9.169,10.584,,0.369,0.341,0.396,,6084,5631,6537,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,French living in Quebec and English living outside Quebec [reference],Both sexes,1,,,,40630,,1.35358e+006,3,2.9,3.1,,3,2.9,3.1,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,Neither English nor French,Males,7.519,6.223,8.815,,1760,,11575,15.2,14.1,16.3,,22.5,18.7,26.3,,19.53,15.742,23.317,,86.701,84.419,88.982,,4.812,4.369,5.255,,0.18,0.164,0.197,,1526,1387,1665,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,English and French,Males,2.389,2.188,2.59,,2805,,38425,7.3,6.7,7.9,,7.2,6.6,7.7,,4.16,3.595,4.726,,58.138,54.685,61.591,,5.137,4.448,5.826,,0.193,0.167,0.218,,1629,1410,1847,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,English in Quebec,Males,2.076,1.963,2.189,,6360,,102240,6.2,5.9,6.5,,6.2,5.9,6.5,,3.224,2.912,3.535,,51.832,49.259,54.405,,10.404,9.429,11.378,,0.39,0.353,0.428,,3299,2980,3618,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,French living in Quebec and English living outside Quebec [reference],Males,1,,,,20785,,693245,3,2.9,3.1,,3,2.9,3.1,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,Neither English nor French,Females,10.299,8.643,11.955,,1565,,9790,16,14.5,17.5,,30.9,26.1,35.7,,27.921,23.114,32.729,,90.29,88.726,91.855,,4.733,4.2,5.265,,0.176,0.156,0.196,,1415,1251,1578,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,English and French,Females,2.415,2.227,2.604,,2840,,38605,7.4,6.8,7.9,,7.3,6.7,7.8,,4.25,3.703,4.797,,58.598,55.407,61.79,,5.563,4.891,6.235,,0.207,0.181,0.233,,1663,1454,1871,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,English in Quebec,Females,1.975,1.866,2.083,,5645,,95120,5.9,5.6,6.2,,5.9,5.6,6.2,,2.926,2.619,3.234,,49.356,46.561,52.152,,9.319,8.405,10.234,,0.347,0.311,0.382,,2786,2498,3073,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Quebec,First official languages spoken by geography,French living in Quebec and English living outside Quebec [reference],Females,1,,,,19840,,660335,3,2.9,3.1,,3,2.9,3.1,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Overall,Total,Both sexes,,,,,127770,,2.72749e+006,4.7,4.6,4.7,,4.7,4.6,4.7,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Overall,"Total [Males, reference]",Males,1,,,,65560,,1.40159e+006,4.7,4.6,4.7,,4.7,4.6,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Overall,Total [Females],Females,1.003,0.984,1.023,,62210,,1.3259e+006,4.7,4.6,4.8,,4.7,4.6,4.8,,0.015,-0.076,0.107,,0.33,-1.615,2.275,,0.161,-0.789,1.11,,0.008,-0.037,0.052,,205,-1006,1416,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Age group,0 to 11 years,Both sexes,,,,,82770,,1.76294e+006,4.7,4.6,4.8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Age group,12 to 17 years,Both sexes,,,,,44995,,964555,4.7,4.6,4.8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Age group,0 to 11 years,Males,,,,,42230,,903545,4.7,4.6,4.8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Age group,12 to 17 years,Males,,,,,23325,,498040,4.7,4.6,4.8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Age group,0 to 11 years,Females,,,,,40545,,859390,4.7,4.6,4.8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Age group,12 to 17 years,Females,,,,,21665,,466510,4.6,4.5,4.8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations,Both sexes,1.481,1.4,1.562,,5050,,73735,6.8,6.5,7.2,,6.9,6.5,7.2,,2.23,1.865,2.595,,32.472,28.779,36.164,,1.283,1.068,1.498,,0.06,0.05,0.07,,1639,1368,1911,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations on reserve,Both sexes,2.708,2.575,2.841,,2070,,16460,12.6,12,13.2,,12.6,12,13.2,,7.922,7.32,8.524,,63.072,61.259,64.884,,1.021,0.942,1.1,,0.048,0.044,0.051,,1305,1205,1405,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations off reserve,Both sexes,1.127,1.032,1.222,,2980,,57270,5.2,4.8,5.6,,5.2,4.8,5.7,,0.589,0.151,1.027,,11.271,3.7,18.842,,0.263,0.066,0.459,,0.012,0.003,0.021,,336,86,586,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Inuit,Both sexes,1.738,0.842,2.633,,105,E,1320,7.9,3.9,11.9,,8.1,3.9,12.2,,3.421,-0.729,7.571,,42.45,9.003,75.897,,0.035,-0.007,0.077,E,0.002,0,0.004,E,44,-9,98,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Inuit outside Inuit Nunangat,Both sexes,1.738,0.842,2.633,,105,E,1315,7.9,3.9,11.9,,8.1,3.9,12.2,,3.421,-0.729,7.571,,42.45,9.003,75.897,,0.035,-0.007,0.077,E,0.002,0,0.004,E,44,-9,98,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis,Both sexes,0.617,0.51,0.723,,885,,30980,2.9,2.4,3.3,,2.9,2.4,3.3,,-1.777,-2.277,-1.278,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis in urban area (population centre),Both sexes,0.69,0.569,0.811,,760,,23815,3.2,2.6,3.7,,3.2,2.6,3.8,,-1.439,-2.003,-0.875,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis in rural area,Both sexes,0.386,0.198,0.575,,130,E,7040,1.8,0.9,2.7,,1.8,0.9,2.7,,-2.847,-3.727,-1.968,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis - No identification related to statistical area classification,Both sexes,,,,F,-,F,125,0,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Both sexes,1.417,1.026,1.809,,275,,4245,6.5,4.7,8.3,,6.6,4.8,8.4,,1.935,0.121,3.749,,29.439,9.955,48.922,,0.064,0.004,0.123,,0.003,0,0.006,,81,6,157,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Non-Indigenous [reference],Both sexes,1,,,,121455,,2.61722e+006,4.6,4.6,4.7,,4.6,4.6,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations,Males,1.52,1.416,1.624,,2655,,37915,7,6.5,7.4,,7,6.6,7.5,,2.406,1.936,2.876,,34.213,29.663,38.763,,1.383,1.105,1.661,,0.065,0.052,0.078,,907,727,1087,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations on reserve,Males,2.747,2.589,2.905,,1085,,8530,12.7,12,13.4,,12.7,12,13.4,,8.084,7.368,8.799,,63.598,61.517,65.679,,1.053,0.958,1.147,,0.049,0.045,0.054,,690,628,752,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations off reserve,Males,1.163,1.043,1.283,,1565,,29390,5.3,4.8,5.9,,5.4,4.8,5.9,,0.754,0.202,1.306,,14.014,4.981,23.046,,0.335,0.087,0.582,,0.016,0.004,0.027,,219,58,381,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Inuit,Males,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Inuit outside Inuit Nunangat,Males,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis,Males,0.667,0.548,0.785,,475,,15455,3,2.5,3.6,,3.1,2.5,3.6,,-1.543,-2.094,-0.991,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis in urban area (population centre),Males,0.783,0.637,0.929,,435,,12115,3.6,2.9,4.2,,3.6,2.9,4.3,,-1.005,-1.681,-0.329,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis in rural area,Males,0.26,0.097,0.423,,40,E,3280,1.2,0.5,2,,1.2,0.4,2,,-3.425,-4.182,-2.668,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Males,1.116,0.693,1.538,,110,E,2130,5.2,3.2,7.1,,5.2,3.2,7.1,,0.535,-1.415,2.486,,10.372,-23.503,44.247,,0.017,-0.046,0.081,E,0.001,-0.002,0.004,E,11,-30,53,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Non-Indigenous [reference],Males,1,,,,62295,,1.34539e+006,4.6,4.6,4.7,,4.6,4.6,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations,Females,1.442,1.341,1.543,,2395,,35820,6.7,6.3,7.1,,6.7,6.3,7.1,,2.054,1.597,2.511,,30.643,25.789,35.496,,1.181,0.914,1.449,,0.055,0.043,0.068,,735,571,899,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations on reserve,Females,2.662,2.497,2.827,,985,,7935,12.4,11.7,13.1,,12.4,11.6,13.1,,7.727,6.989,8.466,,62.433,60.093,64.772,,0.987,0.889,1.085,,0.046,0.042,0.051,,614,554,674,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,First Nations off reserve,Females,1.093,0.97,1.216,,1410,,27880,5.1,4.5,5.6,,5.1,4.5,5.6,,0.434,-0.135,1.002,,8.53,-1.873,18.932,,0.194,-0.062,0.45,,0.009,-0.003,0.021,,121,-38,279,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Inuit,Females,2.469,1.164,3.774,,70,E,620,11.3,5.3,17.3,,11.5,5.4,17.5,,6.829,0.768,12.89,,59.492,34.353,84.632,,0.067,0.007,0.127,E,0.003,0,0.006,E,42,4,79,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Inuit outside Inuit Nunangat,Females,2.469,1.164,3.774,,70,E,615,11.3,5.3,17.3,,11.5,5.4,17.5,,6.829,0.768,12.89,,59.492,34.353,84.632,,0.067,0.007,0.127,E,0.003,0,0.006,E,42,4,79,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis,Females,0.571,0.423,0.718,,410,,15515,2.7,2,3.3,,2.7,2,3.3,,-1.996,-2.693,-1.298,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis in urban area (population centre),Females,0.596,0.436,0.757,,330,,11695,2.8,2.1,3.5,,2.8,2,3.5,,-1.878,-2.633,-1.123,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Métis in rural area,Females,0.498,0.237,0.76,,90,E,3760,2.3,1.1,3.5,,2.3,1.1,3.5,,-2.332,-3.558,-1.106,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Females,1.697,1.157,2.237,,165,E,2110,7.9,5.4,10.4,,7.9,5.4,10.4,,3.242,0.722,5.761,,41.08,22.422,59.737,,0.11,0.025,0.194,E,0.005,0.001,0.009,E,68,15,121,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Indigenous identity,Non-Indigenous [reference],Females,1,,,,59170,,1.27183e+006,4.7,4.6,4.7,,4.6,4.6,4.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,First Nations/Inuit/Métis,Both sexes,1.973,1.857,2.089,,6215,,108340,5.7,5.4,6,,5.8,5.5,6.1,,2.842,2.527,3.157,,49.32,46.34,52.299,,2.399,2.128,2.67,,0.112,0.1,0.125,,3065,2724,3407,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Black ,Both sexes,2.944,2.807,3.081,,18705,,217545,8.6,8.3,8.9,,8.6,8.3,8.9,,5.679,5.337,6.02,,66.038,64.464,67.612,,9.667,9.107,10.227,,0.453,0.426,0.48,,12352,11622,13081,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Both sexes,2.905,2.79,3.021,,14590,,170945,8.5,8.3,8.8,,8.5,8.2,8.8,,5.564,5.284,5.845,,65.581,64.211,66.95,,7.486,7.109,7.863,,0.351,0.333,0.369,,9565,9075,10055,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Southeast Asian (incl. Filipino) ,Both sexes,1.313,1.206,1.42,,4070,,104525,3.9,3.6,4.2,,3.8,3.5,4.1,,0.914,0.61,1.217,,23.827,17.633,30.02,,0.758,0.504,1.013,,0.036,0.024,0.047,,969,644,1293,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,South Asian ,Both sexes,1.562,1.491,1.633,,15610,,341065,4.6,4.4,4.7,,4.6,4.4,4.7,,1.642,1.452,1.831,,35.983,33.049,38.916,,4.395,3.882,4.908,,0.206,0.182,0.23,,5615,4967,6263,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Arab ,Both sexes,4.248,4.011,4.486,,10575,,85645,12.3,11.7,13,,12.4,11.7,13.1,,9.486,8.827,10.146,,76.461,75.155,77.767,,6.329,5.905,6.753,,0.296,0.276,0.317,,8086,7524,8648,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,West Asian,Both sexes,3.26,2.98,3.539,,4250,,44730,9.5,8.8,10.3,,9.5,8.8,10.3,,6.599,5.839,7.359,,69.322,66.696,71.949,,2.306,2.026,2.586,,0.108,0.095,0.121,,2947,2592,3302,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Latin American ,Both sexes,3.605,3.324,3.886,,4420,,42160,10.5,9.7,11.2,,10.5,9.8,11.3,,7.608,6.845,8.37,,72.261,70.1,74.421,,2.498,2.234,2.762,,0.117,0.105,0.129,,3192,2858,3525,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Multiple origins,Both sexes,1.78,1.626,1.934,,3530,,68465,5.2,4.7,5.6,,5.2,4.7,5.7,,2.278,1.828,2.728,,43.826,38.938,48.714,,1.211,0.972,1.449,,0.057,0.045,0.068,,1547,1238,1856,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Origins responses not included elsewhere,Both sexes,1.965,1.718,2.211,,1445,,25240,5.7,5,6.4,,5.7,5,6.4,,2.818,2.108,3.527,,49.104,42.568,55.641,,0.557,0.417,0.697,,0.026,0.02,0.033,,712,533,891,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Total - Not white,Both sexes,2.362,2.294,2.429,,83400,,1.20866e+006,6.9,6.8,7,,6.9,6.8,7,,3.977,3.849,4.104,,57.656,56.445,58.868,,37.634,36.472,38.796,,1.763,1.706,1.819,,48084,46548,49620,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,White [reference],Both sexes,1,,,,44375,,1.51883e+006,2.9,2.9,3,,2.9,2.9,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,First Nations/Inuit/Métis,Males,2.011,1.87,2.153,,3225,,55220,5.8,5.5,6.2,,5.9,5.5,6.2,,2.95,2.565,3.335,,50.279,46.771,53.787,,2.47,2.138,2.801,,0.116,0.1,0.131,,1619,1404,1834,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Black ,Males,2.907,2.747,3.068,,9310,,109820,8.5,8.1,8.8,,8.5,8.1,8.8,,5.564,5.179,5.948,,65.604,63.717,67.491,,9.319,8.693,9.945,,0.436,0.406,0.466,,6109,5694,6524,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Males,2.985,2.843,3.126,,7685,,87860,8.7,8.4,9.1,,8.7,8.4,9,,5.789,5.461,6.117,,66.495,64.915,68.074,,7.794,7.338,8.25,,0.365,0.343,0.386,,5109,4806,5413,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Southeast Asian (incl. Filipino) ,Males,1.283,1.153,1.412,,2040,,53865,3.8,3.4,4.1,,3.7,3.4,4.1,,0.824,0.454,1.195,,22.035,14.15,29.92,,0.686,0.375,0.996,,0.032,0.018,0.047,,450,246,653,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,South Asian ,Males,1.558,1.465,1.651,,7985,,175320,4.6,4.3,4.8,,4.5,4.3,4.8,,1.628,1.381,1.874,,35.813,31.977,39.649,,4.362,3.696,5.028,,0.204,0.173,0.235,,2860,2425,3294,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Arab ,Males,4.181,3.904,4.458,,5315,,43880,12.1,11.4,12.9,,12.2,11.5,12.9,,9.28,8.54,10.019,,76.084,74.517,77.651,,6.173,5.684,6.662,,0.289,0.265,0.312,,4047,3719,4374,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,West Asian,Males,3.21,2.883,3.538,,2150,,23015,9.3,8.5,10.2,,9.4,8.5,10.2,,6.448,5.554,7.342,,68.852,65.663,72.041,,2.256,1.923,2.589,,0.106,0.09,0.121,,1479,1263,1695,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Latin American ,Males,3.834,3.474,4.193,,2390,,21565,11.1,10.1,12,,11.2,10.2,12.1,,8.266,7.296,9.235,,73.915,71.478,76.352,,2.698,2.358,3.037,,0.126,0.111,0.142,,1769,1549,1988,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Multiple origins,Males,1.885,1.711,2.059,,1900,,34685,5.5,5,6,,5.5,5,6,,2.581,2.072,3.09,,46.946,41.969,51.924,,1.357,1.089,1.626,,0.063,0.051,0.076,,890,712,1068,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Origins responses not included elsewhere,Males,1.815,1.528,2.102,,675,,12750,5.3,4.5,6.1,,5.3,4.5,6.1,,2.378,1.55,3.205,,44.908,35.797,54.019,,0.464,0.303,0.626,,0.022,0.014,0.029,,304,198,411,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Total - Not white,Males,2.367,2.281,2.453,,42675,,617990,6.9,6.8,7,,6.9,6.8,7,,3.986,3.827,4.145,,57.744,56.212,59.276,,37.59,36.113,39.067,,1.758,1.688,1.828,,24642,23661,25624,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,White [reference],Males,1,,,,22885,,783610,2.9,2.8,3,,2.9,2.8,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,First Nations/Inuit/Métis,Females,1.935,1.782,2.088,,2995,,53120,5.6,5.2,6,,5.7,5.3,6,,2.733,2.321,3.144,,48.312,44.232,52.392,,2.326,1.97,2.682,,0.109,0.093,0.125,,1447,1231,1663,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Black ,Females,2.982,2.813,3.15,,9395,,107735,8.7,8.3,9.1,,8.7,8.3,9.1,,5.794,5.373,6.214,,66.462,64.576,68.349,,10.033,9.318,10.747,,0.471,0.437,0.505,,6242,5791,6692,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Females,2.823,2.668,2.977,,6900,,83085,8.3,7.9,8.7,,8.3,7.9,8.6,,5.329,4.931,5.727,,64.573,62.636,66.51,,7.163,6.623,7.703,,0.336,0.311,0.362,,4457,4118,4795,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Southeast Asian (incl. Filipino) ,Females,1.345,1.215,1.476,,2030,,50655,4,3.6,4.4,,3.9,3.6,4.3,,1.009,0.636,1.383,,25.664,18.482,32.847,,0.836,0.524,1.147,,0.039,0.025,0.054,,520,326,714,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,South Asian ,Females,1.567,1.472,1.661,,7625,,165745,4.6,4.4,4.8,,4.6,4.3,4.8,,1.656,1.401,1.912,,36.165,32.3,40.029,,4.43,3.742,5.118,,0.208,0.176,0.24,,2756,2329,3183,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Arab ,Females,4.318,4.044,4.593,,5260,,41770,12.6,11.8,13.4,,12.6,11.8,13.4,,9.702,8.915,10.489,,76.843,75.371,78.315,,6.493,5.991,6.994,,0.305,0.28,0.329,,4039,3710,4368,,Census 2021
