Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations on reserve,Females,2.625,2.55,2.7,,6360,,55235,11.5,11.2,11.8,,11.5,11.2,11.8,,7.122,6.822,7.422,,61.905,60.819,62.991,,2.436,2.326,2.547,,0.112,0.108,0.117,,3935,3767,4104,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations off reserve,Females,1.811,1.718,1.903,,8770,,110615,7.9,7.5,8.3,,7.9,7.5,8.3,,3.552,3.154,3.951,,44.768,41.945,47.591,,2.43,2.165,2.696,,0.112,0.1,0.125,,3925,3493,4357,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Inuit,Females,1.02,0.855,1.185,,585,,13020,4.5,3.8,5.2,,4.5,3.7,5.2,,0.087,-0.635,0.808,,1.943,-14.048,17.933,,0.007,-0.052,0.066,,0,-0.002,0.003,,11,-83,106,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Inuit inside Inuit Nunangat,Females,0.779,0.705,0.853,,335,,9785,3.4,3.1,3.7,,3.4,3.1,3.7,,-0.969,-1.294,-0.644,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Inuit outside Inuit Nunangat,Females,1.761,1.11,2.412,,250,E,3230,7.7,4.9,10.5,,7.7,4.9,10.6,,3.335,0.486,6.183,,43.21,20.693,65.728,,0.067,0.01,0.124,E,0.003,0,0.006,E,108,16,200,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis,Females,1.012,0.936,1.089,,3630,,82085,4.4,4.1,4.7,,4.4,4.1,4.8,,0.055,-0.28,0.389,,1.23,-6.405,8.864,,0.028,-0.142,0.197,,0.001,-0.007,0.009,,45,-229,318,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis in urban area (population centre),Females,1.173,1.075,1.271,,2940,,57325,5.1,4.7,5.5,,5.1,4.7,5.6,,0.758,0.333,1.184,,14.749,7.591,21.907,,0.268,0.118,0.419,,0.012,0.005,0.019,,433,190,676,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis in rural area,Females,0.646,0.536,0.756,,690,,24490,2.8,2.3,3.3,,2.8,2.4,3.3,,-1.553,-2.037,-1.068,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Females,1.577,1.291,1.863,,625,,8970,7,5.7,8.2,,6.9,5.7,8.2,,2.528,1.275,3.781,,36.583,24.82,48.346,,0.141,0.071,0.212,,0.007,0.003,0.01,,228,114,343,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Non-Indigenous [reference],Females,1,,,,141565,,3.23012e+006,4.4,4.3,4.4,,4.4,4.3,4.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
