model_no,k_name,l1,l2,b,meas_error,lppd_exact
271,ksqexp,2,10,0.5,0.1,-535.0585420498139
272,ksqexp,2,10,0.5,0.05,-1825.7444049501119
273,ksqexp,2,10,0.5,0.01,-9501.71209134935
274,ksqexp,2,10,1,0.1,-515.2276322345672
275,ksqexp,2,10,1,0.05,-1578.8138841418338
276,ksqexp,2,10,1,0.01,-5231.805572587113
277,ksqexp,2,10,1.5,0.1,-498.1372688176393
278,ksqexp,2,10,1.5,0.05,-1394.7351047722884
279,ksqexp,2,10,1.5,0.01,-3616.967941277054
280,ksqexp,2,50,0.5,0.1,-268.41186629110655
281,ksqexp,2,50,0.5,0.05,-401.0984315405658
282,ksqexp,2,50,0.5,0.01,-481.88559933523004
283,ksqexp,2,50,1,0.1,-191.2136741550856
284,ksqexp,2,50,1,0.05,-238.68887404080778
285,ksqexp,2,50,1,0.01,-260.8640402936752
286,ksqexp,2,50,1.5,0.1,-155.92929059729371
287,ksqexp,2,50,1.5,0.05,-180.0905795557406
288,ksqexp,2,50,1.5,0.01,-190.2164720495875
289,ksqexp,2,100,0.5,0.1,-122.0119036038242
290,ksqexp,2,100,0.5,0.05,-137.36443345662096
291,ksqexp,2,100,0.5,0.01,-143.47384385363037
292,ksqexp,2,100,1,0.1,-87.66003268533359
293,ksqexp,2,100,1,0.05,-91.82475194626217
294,ksqexp,2,100,1,0.01,-93.3254647135474
295,ksqexp,2,100,1.5,0.1,-77.58216779428187
296,ksqexp,2,100,1.5,0.05,-79.42526609454421
297,ksqexp,2,100,1.5,0.01,-80.0662975385004
298,ksqexp,2.5,1.5,0.5,0.1,-683.3894829684695
299,ksqexp,2.5,1.5,0.5,0.05,-2740.0404231029056
300,ksqexp,2.5,1.5,0.5,0.01,-71787.18725842376
301,ksqexp,2.5,1.5,1,0.1,-668.5838218420627
302,ksqexp,2.5,1.5,1,0.05,-2736.1785752992278
303,ksqexp,2.5,1.5,1,0.01,-72756.55827356281
304,ksqexp,2.5,1.5,1.5,0.1,-665.2154359044026
305,ksqexp,2.5,1.5,1.5,0.05,-2741.0283018438536
306,ksqexp,2.5,1.5,1.5,0.01,-73344.15988995423
307,ksqexp,2.5,2,0.5,0.1,-666.4238208024018
308,ksqexp,2.5,2,0.5,0.05,-2773.068857309734
309,ksqexp,2.5,2,0.5,0.01,-69003.65407443847
310,ksqexp,2.5,2,1,0.1,-670.3253249114258
311,ksqexp,2.5,2,1,0.05,-2791.926438684036
312,ksqexp,2.5,2,1,0.01,-68173.99173081775
313,ksqexp,2.5,2,1.5,0.1,-674.1615366527752
314,ksqexp,2.5,2,1.5,0.05,-2798.8695329073826
315,ksqexp,2.5,2,1.5,0.01,-68101.74533861472
316,ksqexp,2.5,3,0.5,0.1,-641.380917595557
317,ksqexp,2.5,3,0.5,0.05,-2552.057712714864
318,ksqexp,2.5,3,0.5,0.01,-62708.48790062603
319,ksqexp,2.5,3,1,0.1,-636.0697174000247
320,ksqexp,2.5,3,1,0.05,-2536.562050084834
321,ksqexp,2.5,3,1,0.01,-60703.80791229525
322,ksqexp,2.5,3,1.5,0.1,-633.8614199978635
323,ksqexp,2.5,3,1.5,0.05,-2533.692284960543
324,ksqexp,2.5,3,1.5,0.01,-58750.49502025108
325,ksqexp,2.5,3.5,0.5,0.1,-621.7155268724655
326,ksqexp,2.5,3.5,0.5,0.05,-2498.931099861685
327,ksqexp,2.5,3.5,0.5,0.01,-56831.37785011158
328,ksqexp,2.5,3.5,1,0.1,-621.3658952446964
329,ksqexp,2.5,3.5,1,0.05,-2493.3475402726494
330,ksqexp,2.5,3.5,1,0.01,-52403.324836300075
331,ksqexp,2.5,3.5,1.5,0.1,-622.9667870774477
332,ksqexp,2.5,3.5,1.5,0.05,-2485.5358036773077
333,ksqexp,2.5,3.5,1.5,0.01,-48857.34323864793
334,ksqexp,2.5,4,0.5,0.1,-612.6497640410588
335,ksqexp,2.5,4,0.5,0.05,-2461.0180531623732
336,ksqexp,2.5,4,0.5,0.01,-50874.78567448689
337,ksqexp,2.5,4,1,0.1,-615.5423124217673
338,ksqexp,2.5,4,1,0.05,-2435.1240182548727
339,ksqexp,2.5,4,1,0.01,-44757.19712551479
340,ksqexp,2.5,4,1.5,0.1,-617.5791513168693
341,ksqexp,2.5,4,1.5,0.05,-2407.00403732108
342,ksqexp,2.5,4,1.5,0.01,-40103.81167922278
343,ksqexp,2.5,4.5,0.5,0.1,-607.7298793753273
344,ksqexp,2.5,4.5,0.5,0.05,-2413.0945978012123
345,ksqexp,2.5,4.5,0.5,0.01,-45539.28176415709
346,ksqexp,2.5,4.5,1,0.1,-610.1605982865907
347,ksqexp,2.5,4.5,1,0.05,-2359.2060013399832
348,ksqexp,2.5,4.5,1,0.01,-38044.73156602762
349,ksqexp,2.5,4.5,1.5,0.1,-610.3532271067388
350,ksqexp,2.5,4.5,1.5,0.05,-2311.8951105271362
351,ksqexp,2.5,4.5,1.5,0.01,-32763.582408091966
352,ksqexp,2.5,5,0.5,0.1,-603.3283752482611
353,ksqexp,2.5,5,0.5,0.05,-2357.100853500523
354,ksqexp,2.5,5,0.5,0.01,-40607.78290149738
355,ksqexp,2.5,5,1,0.1,-603.2875294384589
356,ksqexp,2.5,5,1,0.05,-2278.9755632370648
357,ksqexp,2.5,5,1,0.01,-32152.70617545267
358,ksqexp,2.5,5,1.5,0.1,-600.9119277649631
359,ksqexp,2.5,5,1.5,0.05,-2217.950773393846
360,ksqexp,2.5,5,1.5,0.01,-26691.338287505427
361,ksqexp,2.5,6,0.5,0.1,-592.7858446663973
362,ksqexp,2.5,6,0.5,0.05,-2242.06519103357
363,ksqexp,2.5,6,0.5,0.01,-31841.73879170572
364,ksqexp,2.5,6,1,0.1,-586.328924969518
365,ksqexp,2.5,6,1,0.05,-2132.4489592813457
366,ksqexp,2.5,6,1,0.01,-22799.594191986776
367,ksqexp,2.5,6,1.5,0.1,-579.4376260289079
368,ksqexp,2.5,6,1.5,0.05,-2052.83054988533
369,ksqexp,2.5,6,1.5,0.01,-17814.877065542314
370,ksqexp,2.5,10,0.5,0.1,-550.592625758119
371,ksqexp,2.5,10,0.5,0.05,-1939.9935892544274
372,ksqexp,2.5,10,0.5,0.01,-13782.419456100348
373,ksqexp,2.5,10,1,0.1,-533.1128887973724
374,ksqexp,2.5,10,1,0.05,-1741.494270922939
375,ksqexp,2.5,10,1,0.01,-8015.85146931971
376,ksqexp,2.5,10,1.5,0.1,-519.324683702995
377,ksqexp,2.5,10,1.5,0.05,-1588.4100480636591
378,ksqexp,2.5,10,1.5,0.01,-5662.299320119792
379,ksqexp,2.5,50,0.5,0.1,-320.77074928876056
380,ksqexp,2.5,50,0.5,0.05,-560.2692660179075
381,ksqexp,2.5,50,0.5,0.01,-760.3073471115832
382,ksqexp,2.5,50,1,0.1,-241.11538106697944
383,ksqexp,2.5,50,1,0.05,-341.3443169840525
384,ksqexp,2.5,50,1,0.01,-400.38399642120334
385,ksqexp,2.5,50,1.5,0.1,-199.43330384109913
386,ksqexp,2.5,50,1.5,0.05,-254.7460931617254
387,ksqexp,2.5,50,1.5,0.01,-282.5767152834164
388,ksqexp,2.5,100,0.5,0.1,-158.3753814421871
389,ksqexp,2.5,100,0.5,0.05,-194.53178610251746
390,ksqexp,2.5,100,0.5,0.01,-211.26075628523304
391,ksqexp,2.5,100,1,0.1,-110.54183330073766
392,ksqexp,2.5,100,1,0.05,-121.46197616961805
393,ksqexp,2.5,100,1,0.01,-125.76202072274063
394,ksqexp,2.5,100,1.5,0.1,-93.65089406201753
395,ksqexp,2.5,100,1.5,0.05,-98.76763996363144
396,ksqexp,2.5,100,1.5,0.01,-100.66239412864681
397,ksqexp,3,1.5,0.5,0.1,-745.092744261284
398,ksqexp,3,1.5,0.5,0.05,-2821.48015013119
399,ksqexp,3,1.5,0.5,0.01,-69953.23576239673
400,ksqexp,3,1.5,1,0.1,-704.9502203955482
401,ksqexp,3,1.5,1,0.05,-2772.309657190569
402,ksqexp,3,1.5,1,0.01,-70413.41781456702
403,ksqexp,3,1.5,1.5,0.1,-689.7453308271135
404,ksqexp,3,1.5,1.5,0.05,-2755.5555052890636
405,ksqexp,3,1.5,1.5,0.01,-70773.11344183268
406,ksqexp,3,2,0.5,0.1,-672.0262532363028
407,ksqexp,3,2,0.5,0.05,-2757.6331013003137
408,ksqexp,3,2,0.5,0.01,-72153.05917793425
409,ksqexp,3,2,1,0.1,-668.569759972041
410,ksqexp,3,2,1,0.05,-2766.1260484488466
411,ksqexp,3,2,1,0.01,-72169.97687898942
412,ksqexp,3,2,1.5,0.1,-669.0015726062181
413,ksqexp,3,2,1.5,0.05,-2775.3172642762515
414,ksqexp,3,2,1.5,0.01,-71905.22244323402
415,ksqexp,3,3,0.5,0.1,-665.2435723999341
416,ksqexp,3,3,0.5,0.05,-2678.6311182588574
417,ksqexp,3,3,0.5,0.01,-65206.68914529721
418,ksqexp,3,3,1,0.1,-663.2693217119169
419,ksqexp,3,3,1,0.05,-2638.123945766341
420,ksqexp,3,3,1,0.01,-65497.61560338116
421,ksqexp,3,3,1.5,0.1,-660.6987017381465
422,ksqexp,3,3,1.5,0.05,-2615.939247391331
423,ksqexp,3,3,1.5,0.01,-65578.11014337027
424,ksqexp,3,3.5,0.5,0.1,-644.6800927654416
425,ksqexp,3,3.5,0.5,0.05,-2566.7099398845417
426,ksqexp,3,3.5,0.5,0.01,-63041.10121746631
427,ksqexp,3,3.5,1,0.1,-638.793045586291
428,ksqexp,3,3.5,1,0.05,-2546.292082851142
429,ksqexp,3,3.5,1,0.01,-61469.125214336855
430,ksqexp,3,3.5,1.5,0.1,-636.2156668614721
431,ksqexp,3,3.5,1.5,0.05,-2539.6690759707626
432,ksqexp,3,3.5,1.5,0.01,-59840.42574221257
433,ksqexp,3,4,0.5,0.1,-626.0466403448977
434,ksqexp,3,4,0.5,0.05,-2512.307895249636
435,ksqexp,3,4,0.5,0.01,-58659.814792731086
436,ksqexp,3,4,1,0.1,-624.034748210845
437,ksqexp,3,4,1,0.05,-2504.8897412641477
438,ksqexp,3,4,1,0.01,-54807.66712142713
439,ksqexp,3,4,1.5,0.1,-624.5816813469337
440,ksqexp,3,4,1.5,0.05,-2499.446553296955
441,ksqexp,3,4,1.5,0.01,-51654.578203387
442,ksqexp,3,4.5,0.5,0.1,-615.3207084519626
443,ksqexp,3,4.5,0.5,0.05,-2478.037003413263
444,ksqexp,3,4.5,0.5,0.01,-53560.68950525022
445,ksqexp,3,4.5,1,0.1,-616.9142097927017
446,ksqexp,3,4.5,1,0.05,-2462.802260567497
447,ksqexp,3,4.5,1,0.01,-48089.222027669304
448,ksqexp,3,4.5,1.5,0.1,-618.8301176527434
449,ksqexp,3,4.5,1.5,0.05,-2445.0370515786253
450,ksqexp,3,4.5,1.5,0.01,-43943.08798607228
451,ksqexp,3,5,0.5,0.1,-609.1789410057406
452,ksqexp,3,5,0.5,0.05,-2442.2226514445815
453,ksqexp,3,5,0.5,0.01,-48773.98960251416
454,ksqexp,3,5,1,0.1,-611.9685872402931
455,ksqexp,3,5,1,0.05,-2407.88819673355
456,ksqexp,3,5,1,0.01,-42113.87820579579
457,ksqexp,3,5,1.5,0.1,-613.3963970695513
458,ksqexp,3,5,1.5,0.05,-2373.951045837212
459,ksqexp,3,5,1.5,0.01,-37336.00920732607
460,ksqexp,3,6,0.5,0.1,-600.8245782137936
461,ksqexp,3,6,0.5,0.05,-2356.1502052012042
462,ksqexp,3,6,0.5,0.01,-40356.89342754301
463,ksqexp,3,6,1,0.1,-601.1226669423556
464,ksqexp,3,6,1,0.05,-2281.5137926128045
465,ksqexp,3,6,1,0.01,-32166.65799460719
