model_no,k_name,l1,l2,b,meas_error,lppd_exact
211,ksqexp,1,75,0.5,0.5,-29.334205526592985
212,ksqexp,1,75,0.5,0.1,-1.8315353569289727
213,ksqexp,1,75,0.5,0.05,-2.8393237134250384
214,ksqexp,1,75,0.5,0.01,-8.076022250249771
215,ksqexp,1,75,0.5,0,-8.399458004334626
216,ksqexp,1,75,1,0.5,-33.84230197329098
217,ksqexp,1,75,1,0.1,-6.0243321082458134
218,ksqexp,1,75,1,0.05,-3.8758779733584943
219,ksqexp,1,75,1,0.01,-2.9362429471305473
220,ksqexp,1,75,1,0,-2.8522736298199343
221,ksqexp,1,75,1.5,0.5,-36.91045271762627
222,ksqexp,1,75,1.5,0.1,-10.181291938830372
223,ksqexp,1,75,1.5,0.05,-7.1072123270277405
224,ksqexp,1,75,1.5,0.01,-5.300645020650803
225,ksqexp,1,75,1.5,0,-5.189197320669367
226,ksqexp,1,100,0.5,0.5,-29.164126968557223
227,ksqexp,1,100,0.5,0.1,1.6006009507444887
228,ksqexp,1,100,0.5,0.05,3.711268088750493
229,ksqexp,1,100,0.5,0.01,4.167393165938064
230,ksqexp,1,100,0.5,0,4.225691325215655
231,ksqexp,1,100,1,0.5,-33.845752426582735
232,ksqexp,1,100,1,0.1,-5.341348289356746
233,ksqexp,1,100,1,0.05,-1.8524654149364999
234,ksqexp,1,100,1,0.01,0.10207767636814913
235,ksqexp,1,100,1,0,0.21374239528351302
236,ksqexp,1,100,1.5,0.5,-37.15342764401836
237,ksqexp,1,100,1.5,0.1,-10.708193199256677
238,ksqexp,1,100,1.5,0.05,-7.212536100365075
239,ksqexp,1,100,1.5,0.01,-5.40250565977255
240,ksqexp,1,100,1.5,0,-5.309559064447292
241,ksqexp,1,150,0.5,0.5,-29.09837317099949
242,ksqexp,1,150,0.5,0.1,2.9180611221540156
243,ksqexp,1,150,0.5,0.05,7.003796985510807
244,ksqexp,1,150,0.5,0.01,9.14124118636148
245,ksqexp,1,150,0.5,0,9.257376901215473
246,ksqexp,1,150,1,0.5,-34.33902152794411
247,ksqexp,1,150,1,0.1,-6.7377587050570025
248,ksqexp,1,150,1,0.05,-3.244123254545939
249,ksqexp,1,150,1,0.01,-1.6386920282969866
250,ksqexp,1,150,1,0,-1.5619625579599348
251,ksqexp,1,150,1.5,0.5,-38.13282594289946
252,ksqexp,1,150,1.5,0.1,-13.487965351687656
253,ksqexp,1,150,1.5,0.05,-10.619495643624047
254,ksqexp,1,150,1.5,0.01,-9.409712622058471
255,ksqexp,1,150,1.5,0,-9.354394194386769
256,ksqexp,1,200,0.5,0.5,-29.28933245366094
257,ksqexp,1,200,0.5,0.1,2.395258951168654
258,ksqexp,1,200,0.5,0.05,6.567336927492091
259,ksqexp,1,200,0.5,0.01,8.5078280159309
260,ksqexp,1,200,0.5,0,8.601853623458272
261,ksqexp,1,200,1,0.5,-35.03427887092071
262,ksqexp,1,200,1,0.1,-8.76834199972533
263,ksqexp,1,200,1,0.05,-5.824084832595326
264,ksqexp,1,200,1,0.01,-4.625631426332516
265,ksqexp,1,200,1,0,-4.571596716168963
266,ksqexp,1,200,1.5,0.5,-39.16168535666793
267,ksqexp,1,200,1.5,0.1,-16.282515968474367
268,ksqexp,1,200,1.5,0.05,-14.041505699540417
269,ksqexp,1,200,1.5,0.01,-13.186320123048697
270,ksqexp,1,200,1.5,0,-13.148731979463895
271,ksqexp,1,250,0.5,0.5,-29.556898546785945
