model_no,k_name,l1,l2,b,meas_error,lppd_exact,lppd_LOPO
47,ksqexp,1,1,0.5,0.1,-50.1456030874876,-46.777000137085565
48,ksqexp,1,1,0.5,0.05,-60.95641893519417,-53.208003096293105
49,ksqexp,1,1,0.5,0.01,-69.17223994461791,-59.533506913641425
50,ksqexp,1,1,0.5,0,-69.65959068348924,-59.93543051981552
51,ksqexp,1,1,1,0.5,-48.620157961284825,-54.01803712238679
52,ksqexp,1,1,1,0.1,-44.621009466207234,-47.59375122903513
53,ksqexp,1,1,1,0.05,-47.600648190268174,-49.614327891864086
54,ksqexp,1,1,1,0.01,-49.510149996963776,-51.155783051527635
55,ksqexp,1,1,1,0,-49.61007274418926,-51.23961959697202
56,ksqexp,1,1,1.5,0.5,-52.77812965029135,-58.68575053707212
57,ksqexp,1,1,1.5,0.1,-45.7501589184649,-51.57432661236413
58,ksqexp,1,1,1.5,0.05,-46.83490862431229,-52.364286656935974
59,ksqexp,1,1,1.5,0.01,-47.51459203896573,-52.93350291792398
60,ksqexp,1,1,1.5,0,-47.54892536702253,-52.96304122540962
61,ksqexp,1,1.5,0.5,0.5,-43.11709781461334,-48.269159997226524
62,ksqexp,1,1.5,0.5,0.1,-46.18190052163488,-42.04756210777884
63,ksqexp,1,1.5,0.5,0.05,-51.70148857613666,-43.11702816198304
64,ksqexp,1,1.5,0.5,0.01,-54.11947606554647,-43.628402172594534
65,ksqexp,1,1.5,0.5,0,-54.22914832063194,-43.65208460967176
66,ksqexp,1,1.5,1,0.5,-48.933977513878084,-54.47258242760504
67,ksqexp,1,1.5,1,0.1,-43.7291964892944,-46.68109001441344
68,ksqexp,1,1.5,1,0.05,-44.57278075621377,-46.57026732359979
69,ksqexp,1,1.5,1,0.01,-44.91536790232773,-46.54998422099689
70,ksqexp,1,1.5,1,0,-44.93052582704895,-46.54933034114028
71,ksqexp,1,1.5,1.5,0.5,-53.608639742769064,-59.75446529540583
72,ksqexp,1,1.5,1.5,0.1,-46.39308090560087,-52.46651357114292
73,ksqexp,1,1.5,1.5,0.05,-46.42564633535271,-52.218084415048764
74,ksqexp,1,1.5,1.5,0.01,-46.45173988096487,-52.14032203949111
75,ksqexp,1,1.5,1.5,0,-46.45301026559777,-52.1371041881609
76,ksqexp,1,2,0.5,0.5,-43.112048050800965,-48.281990781668746
77,ksqexp,1,2,0.5,0.1,-45.71633870642205,-41.55546723837859
78,ksqexp,1,2,0.5,0.05,-50.91203456498211,-42.321268535697676
79,ksqexp,1,2,0.5,0.01,-53.169526165756196,-42.68172842550341
80,ksqexp,1,2,0.5,0,-53.27164065122628,-42.69829762480732
81,ksqexp,1,2,1,0.5,-49.32386047989781,-54.952870007362094
82,ksqexp,1,2,1,0.1,-44.49702112566305,-47.68299795623181
83,ksqexp,1,2,1,0.05,-45.32877881649535,-47.5778536430028
84,ksqexp,1,2,1,0.01,-45.663248346199055,-47.555611299409414
85,ksqexp,1,2,1,0,-45.67800948384674,-47.554823546929455
86,ksqexp,1,2,1.5,0.5,-54.254264375944416,-60.55406070947018
87,ksqexp,1,2,1.5,0.1,-47.65996642051722,-54.058537957074975
88,ksqexp,1,2,1.5,0.05,-47.72921098275855,-53.859863045639386
89,ksqexp,1,2,1.5,0.01,-47.767064805158256,-53.798235229484284
90,ksqexp,1,2,1.5,0,-47.768824364478476,-53.79569079084991
91,ksqexp,1,2.5,0.5,0.5,-43.214976678901294,-48.39676035377082
92,ksqexp,1,2.5,0.5,0.1,-46.08647903389324,-42.007902244008655
93,ksqexp,1,2.5,0.5,0.05,-51.29321556756029,-42.80371323117821
94,ksqexp,1,2.5,0.5,0.01,-53.55289984127141,-43.17393592658442
95,ksqexp,1,2.5,0.5,0,-53.655084120562,-43.19091135783347
96,ksqexp,1,2.5,1,0.5,-49.64569805961189,-55.33204557446979
97,ksqexp,1,2.5,1,0.1,-45.20977518035109,-48.571131125938436
98,ksqexp,1,2.5,1,0.05,-46.06849914046031,-48.503513776563814
99,ksqexp,1,2.5,1,0.01,-46.41204346703926,-48.49396113342957
100,ksqexp,1,2.5,1,0,-46.42718760897193,-48.49370971017
101,ksqexp,1,2.5,1.5,0.5,-54.71060770000913,-61.10391142839107
102,ksqexp,1,2.5,1.5,0.1,-48.4992077480568,-55.10475652816411
103,ksqexp,1,2.5,1.5,0.05,-48.592070595712904,-54.93682379101655
