model_no,k_name,l1,l2,b,meas_error,lppd_exact
201,ksqexp,1,25,1,0.5,-86.9860400338959
202,ksqexp,1,25,1,0.1,-83.37750452552324
203,ksqexp,1,25,1,0.05,-85.00742063075946
204,ksqexp,1,25,1,0.01,-85.676473391154
205,ksqexp,1,25,1,0,-85.70623886629284
206,ksqexp,1,25,1.5,0.5,-95.97486629367013
207,ksqexp,1,25,1.5,0.1,-89.65173582019229
208,ksqexp,1,25,1.5,0.05,-90.05016650231593
209,ksqexp,1,25,1.5,0.01,-90.21754876806756
210,ksqexp,1,25,1.5,0,-90.22500749792916
211,ksqexp,1,50,0.5,0.5,-76.37422638901545
212,ksqexp,1,50,0.5,0.1,-84.1359813379737
213,ksqexp,1,50,0.5,0.05,-92.25921643806213
214,ksqexp,1,50,0.5,0.01,-95.97492754248334
215,ksqexp,1,50,0.5,0,-96.14628391262654
216,ksqexp,1,50,1,0.5,-87.92965784376432
217,ksqexp,1,50,1,0.1,-84.81112847043332
218,ksqexp,1,50,1,0.05,-86.46254084149868
219,ksqexp,1,50,1,0.01,-87.13858177677295
220,ksqexp,1,50,1,0,-87.16863959380389
221,ksqexp,1,50,1.5,0.5,-96.9695543602929
222,ksqexp,1,50,1.5,0.1,-90.99677764836706
223,ksqexp,1,50,1.5,0.05,-91.40921244847154
224,ksqexp,1,50,1.5,0.01,-91.58112548614179
225,ksqexp,1,50,1.5,0,-91.58877352394565
226,ksqexp,1,75,0.5,0.5,-76.43880499734092
227,ksqexp,1,75,0.5,0.1,-84.27272990266798
228,ksqexp,1,75,0.5,0.05,-92.39997214180373
229,ksqexp,1,75,0.5,0.01,-96.11700341503159
230,ksqexp,1,75,0.5,0,-96.28841520155595
231,ksqexp,1,75,1,0.5,-87.97876175517956
232,ksqexp,1,75,1,0.1,-84.88556085717562
233,ksqexp,1,75,1,0.05,-86.53806572718024
234,ksqexp,1,75,1,0.01,-87.21446143088887
235,ksqexp,1,75,1,0,-87.24453408505644
236,ksqexp,1,75,1.5,0.5,-97.0093587731637
237,ksqexp,1,75,1.5,0.1,-91.04989701615165
238,ksqexp,1,75,1.5,0.05,-91.4628526608123
239,ksqexp,1,75,1.5,0.01,-91.63493401421066
240,ksqexp,1,75,1.5,0,-91.64258908263919
241,ksqexp,1,100,0.5,0.5,-76.44009054067128
242,ksqexp,1,100,0.5,0.1,-84.27549495446671
243,ksqexp,1,100,0.5,0.05,-92.40282025677469
244,ksqexp,1,100,0.5,0.01,-96.11987891431961
245,ksqexp,1,100,0.5,0,-96.29129185055082
246,ksqexp,1,100,1,0.5,-87.97968543333054
247,ksqexp,1,100,1,0.1,-84.88697277590046
248,ksqexp,1,100,1,0.05,-86.53949883405626
249,ksqexp,1,100,1,0.01,-87.2159014203579
250,ksqexp,1,100,1,0,-87.24597436239227
251,ksqexp,1,100,1.5,0.5,-97.01006594066732
252,ksqexp,1,100,1.5,0.1,-91.05084581818429
253,ksqexp,1,100,1.5,0.05,-91.46381095229485
254,ksqexp,1,100,1.5,0.01,-91.63589537287002
255,ksqexp,1,100,1.5,0,-91.643550569422
256,ksqexp,1,150,0.5,0.5,-76.44009598126416
257,ksqexp,1,150,0.5,0.1,-84.27550666051027
258,ksqexp,1,150,0.5,0.05,-92.40283231466051
259,ksqexp,1,150,0.5,0.01,-96.11989108820273
260,ksqexp,1,150,0.5,0,-96.29130402930402
261,ksqexp,1,150,1,0.5,-87.97968933778506
262,ksqexp,1,150,1,0.1,-84.88697874535255
263,ksqexp,1,150,1,0.05,-86.53950489313578
264,ksqexp,1,150,1,0.01,-87.21590750855151
265,ksqexp,1,150,1,0,-87.24598045180359
266,ksqexp,1,150,1.5,0.5,-97.01006892607998
267,ksqexp,1,150,1.5,0.1,-91.05084982423078
268,ksqexp,1,150,1.5,0.05,-91.46381499842758
269,ksqexp,1,150,1.5,0.01,-91.63589943195947
270,ksqexp,1,150,1.5,0,-91.64355462905269
271,ksqexp,1,200,0.5,0.5,-76.44009598126506
272,ksqexp,1,200,0.5,0.1,-84.27550666051219
273,ksqexp,1,200,0.5,0.05,-92.40283231466249
274,ksqexp,1,200,0.5,0.01,-96.11989108820474
275,ksqexp,1,200,0.5,0,-96.291304029306
276,ksqexp,1,200,1,0.5,-87.9796893377857
277,ksqexp,1,200,1,0.1,-84.88697874535353
278,ksqexp,1,200,1,0.05,-86.53950489313677
279,ksqexp,1,200,1,0.01,-87.2159075085525
280,ksqexp,1,200,1,0,-87.24598045180458
281,ksqexp,1,200,1.5,0.5,-97.01006892608046
282,ksqexp,1,200,1.5,0.1,-91.05084982423143
283,ksqexp,1,200,1.5,0.05,-91.46381499842825
284,ksqexp,1,200,1.5,0.01,-91.63589943196014
285,ksqexp,1,200,1.5,0,-91.64355462905336
286,ksqexp,1,250,0.5,0.5,-76.44009598126506
287,ksqexp,1,250,0.5,0.1,-84.27550666051219
288,ksqexp,1,250,0.5,0.05,-92.40283231466249
289,ksqexp,1,250,0.5,0.01,-96.11989108820474
290,ksqexp,1,250,0.5,0,-96.291304029306
291,ksqexp,1,250,1,0.5,-87.9796893377857
292,ksqexp,1,250,1,0.1,-84.88697874535353
293,ksqexp,1,250,1,0.05,-86.53950489313677
294,ksqexp,1,250,1,0.01,-87.2159075085525
295,ksqexp,1,250,1,0,-87.24598045180458
296,ksqexp,1,250,1.5,0.5,-97.01006892608046
297,ksqexp,1,250,1.5,0.1,-91.05084982423143
298,ksqexp,1,250,1.5,0.05,-91.46381499842825
299,ksqexp,1,250,1.5,0.01,-91.63589943196014
300,ksqexp,1,250,1.5,0,-91.64355462905336
301,ksqexp,1,500,0.5,0.5,-76.44009598126506
302,ksqexp,1,500,0.5,0.1,-84.27550666051219
303,ksqexp,1,500,0.5,0.05,-92.40283231466249
304,ksqexp,1,500,0.5,0.01,-96.11989108820474
305,ksqexp,1,500,0.5,0,-96.291304029306
306,ksqexp,1,500,1,0.5,-87.9796893377857
307,ksqexp,1,500,1,0.1,-84.88697874535353
308,ksqexp,1,500,1,0.05,-86.53950489313677
309,ksqexp,1,500,1,0.01,-87.2159075085525
310,ksqexp,1,500,1,0,-87.24598045180458
311,ksqexp,1,500,1.5,0.5,-97.01006892608046
312,ksqexp,1,500,1.5,0.1,-91.05084982423143
313,ksqexp,1,500,1.5,0.05,-91.46381499842825
314,ksqexp,1,500,1.5,0.01,-91.63589943196014
315,ksqexp,1,500,1.5,0,-91.64355462905336
316,ksqexp,1.25,0.1,0.5,0.5,-74.76756860863381
317,ksqexp,1.25,0.1,0.5,0.1,-963.1203402420897
318,ksqexp,1.25,0.1,0.5,0.05,-4083.060140384406
319,ksqexp,1.25,0.1,0.5,0.01,-104218.60794193795
320,ksqexp,1.25,0.1,0.5,0,-4127654566655.9316
321,ksqexp,1.25,0.1,1,0.5,-73.48973356692149
322,ksqexp,1.25,0.1,1,0.1,-963.8356403897554
323,ksqexp,1.25,0.1,1,0.05,-4078.475024594722
324,ksqexp,1.25,0.1,1,0.01,-102950.57949802857
325,ksqexp,1.25,0.1,1,0,-4144056819379.042
326,ksqexp,1.25,0.1,1.5,0.5,-73.29939203315917
327,ksqexp,1.25,0.1,1.5,0.1,-963.8878180668519
328,ksqexp,1.25,0.1,1.5,0.05,-4078.7357209967595
329,ksqexp,1.25,0.1,1.5,0.01,-102093.57014429236
330,ksqexp,1.25,0.1,1.5,0,-4172155170064.115
331,ksqexp,1.25,0.2,0.5,0.5,-73.38676554483249
332,ksqexp,1.25,0.2,0.5,0.1,-995.3695601636756
333,ksqexp,1.25,0.2,0.5,0.05,-4075.27140419848
334,ksqexp,1.25,0.2,0.5,0.01,-99748.16127054657
335,ksqexp,1.25,0.2,0.5,0,-4477196883821.43
336,ksqexp,1.25,0.2,1,0.5,-74.24334392101
337,ksqexp,1.25,0.2,1,0.1,-986.1911116617058
338,ksqexp,1.25,0.2,1,0.05,-3982.2182760770875
339,ksqexp,1.25,0.2,1,0.01,-98440.705310087
340,ksqexp,1.25,0.2,1,0,-4493746833890.685
341,ksqexp,1.25,0.2,1.5,0.5,-75.21690324811982
342,ksqexp,1.25,0.2,1.5,0.1,-975.7819980711126
343,ksqexp,1.25,0.2,1.5,0.05,-3941.7767709181503
344,ksqexp,1.25,0.2,1.5,0.01,-97346.04729679551
345,ksqexp,1.25,0.2,1.5,0,-4509725431896.942
346,ksqexp,1.25,0.5,0.5,0.5,-77.06236019446068
347,ksqexp,1.25,0.5,0.5,0.1,-932.5591859145869
348,ksqexp,1.25,0.5,0.5,0.05,-3422.7352463425964
349,ksqexp,1.25,0.5,0.5,0.01,-57306.29060977579
350,ksqexp,1.25,0.5,0.5,0,-11642327888266.037
351,ksqexp,1.25,0.5,1,0.5,-79.90282086302457
352,ksqexp,1.25,0.5,1,0.1,-879.3642245915538
353,ksqexp,1.25,0.5,1,0.05,-3142.3862848788476
354,ksqexp,1.25,0.5,1,0.01,-52235.83643991379
355,ksqexp,1.25,0.5,1,0,-12231049808638.643
356,ksqexp,1.25,0.5,1.5,0.5,-81.8324014413533
357,ksqexp,1.25,0.5,1.5,0.1,-843.7127113993563
358,ksqexp,1.25,0.5,1.5,0.05,-2983.934164666412
359,ksqexp,1.25,0.5,1.5,0.01,-50183.968661413746
360,ksqexp,1.25,0.5,1.5,0,-12126135573595.588
361,ksqexp,1.25,1,0.5,0.5,-76.27319876181109
362,ksqexp,1.25,1,0.5,0.1,-643.851925530033
363,ksqexp,1.25,1,0.5,0.05,-2289.6447232066157
364,ksqexp,1.25,1,0.5,0.01,-52624.93521289119
365,ksqexp,1.25,1,0.5,0,-162619635230.48322
366,ksqexp,1.25,1,1,0.5,-78.88974041247617
367,ksqexp,1.25,1,1,0.1,-590.0662992984406
368,ksqexp,1.25,1,1,0.05,-2155.281495469202
369,ksqexp,1.25,1,1,0.01,-53943.69846128586
370,ksqexp,1.25,1,1,0,-84750482328.25719
371,ksqexp,1.25,1,1.5,0.5,-80.80896044904426
372,ksqexp,1.25,1,1.5,0.1,-563.2743557302341
373,ksqexp,1.25,1,1.5,0.05,-2105.105398228292
374,ksqexp,1.25,1,1.5,0.01,-55265.96915976382
375,ksqexp,1.25,1,1.5,0,-57305379727.52774
376,ksqexp,1.25,1.5,0.5,0.5,-75.41330499555855
377,ksqexp,1.25,1.5,0.5,0.1,-645.5487769283023
378,ksqexp,1.25,1.5,0.5,0.05,-2497.2688658233997
379,ksqexp,1.25,1.5,0.5,0.01,-51523.28035739538
380,ksqexp,1.25,1.5,0.5,0,-48850042.82107661
