model_no,k_name,l1,l2,b,meas_error,lppd_exact
318,kexp,1.5,5,1.5,NA,-207.80754288178292
319,kexp,1.5,6,0.5,NA,-441.24244574496254
320,kexp,1.5,6,1,NA,-243.68907996065965
321,kexp,1.5,6,1.5,NA,-182.19835922781337
322,kexp,1.5,10,0.5,NA,-280.50219737500686
323,kexp,1.5,10,1,NA,-165.58403293445508
324,kexp,1.5,10,1.5,NA,-131.63837931794907
325,kexp,1.5,50,0.5,NA,-91.67510830479814
326,kexp,1.5,50,1,NA,-75.33687898121265
327,kexp,1.5,50,1.5,NA,-74.25120373800277
328,kexp,1.5,100,0.5,NA,-70.07444188782608
329,kexp,1.5,100,1,NA,-65.65813564450873
330,kexp,1.5,100,1.5,NA,-68.54643476142255
331,kexp,2,1.5,0.5,NA,-2219.152759578187
332,kexp,2,1.5,1,NA,-1118.8471147956461
333,kexp,2,1.5,1.5,NA,-756.4389676558144
334,kexp,2,2,0.5,NA,-1667.9866757171674
335,kexp,2,2,1,NA,-846.3025755106071
336,kexp,2,2,1.5,NA,-576.7682765964051
337,kexp,2,3,0.5,NA,-1119.0949133107285
338,kexp,2,3,1,NA,-575.7201073894951
339,kexp,2,3,1.5,NA,-398.9555732610972
340,kexp,2,3.5,0.5,NA,-962.9443859042839
341,kexp,2,3.5,1,NA,-498.9600267822423
342,kexp,2,3.5,1.5,NA,-348.65897492534503
343,kexp,2,4,0.5,NA,-846.1037227937345
344,kexp,2,4,1,NA,-441.6047626741622
345,kexp,2,4,1.5,NA,-311.1321771547376
346,kexp,2,4.5,0.5,NA,-755.4144428668196
347,kexp,2,4.5,1,NA,-397.1413176852846
348,kexp,2,4.5,1.5,NA,-282.0773438141542
349,kexp,2,5,0.5,NA,-682.9955096347679
350,kexp,2,5,1,NA,-361.67376591311523
351,kexp,2,5,1.5,NA,-258.92691919691435
352,kexp,2,6,0.5,NA,-574.6202073645755
353,kexp,2,6,1,NA,-308.6682669398556
354,kexp,2,6,1.5,NA,-224.3780213247534
355,kexp,2,10,0.5,NA,-359.0911239247562
356,kexp,2,10,1,NA,-203.5899491198168
357,kexp,2,10,1.5,NA,-156.11662538107734
358,kexp,2,50,0.5,NA,-105.07285607930928
359,kexp,2,50,1,NA,-81.34034162174807
360,kexp,2,50,1.5,NA,-77.78990466718002
361,kexp,2,100,0.5,NA,-75.37751699125619
362,kexp,2,100,1,NA,-67.74945785340311
363,kexp,2,100,1.5,NA,-69.56717267212979
364,kexp,2.5,1.5,0.5,NA,-2770.827690072328
365,kexp,2.5,1.5,1,NA,-1392.183096832347
366,kexp,2.5,1.5,1.5,NA,-936.9953001635462
367,kexp,2.5,2,0.5,NA,-2080.2439704017797
368,kexp,2.5,2,1,NA,-1050.063067645616
369,kexp,2.5,2,1.5,NA,-711.0298345239966
370,kexp,2.5,3,0.5,NA,-1392.011787811306
371,kexp,2.5,3,1,NA,-710.0655716034852
372,kexp,2.5,3,1.5,NA,-487.1105673687529
373,kexp,2.5,3.5,0.5,NA,-1196.1008428070152
374,kexp,2.5,3.5,1,NA,-613.5384103750133
375,kexp,2.5,3.5,1.5,NA,-423.71133407351596
376,kexp,2.5,4,0.5,NA,-1049.4744097190144
377,kexp,2.5,4,1,NA,-541.3924507263224
378,kexp,2.5,4,1.5,NA,-376.3921989097826
379,kexp,2.5,4.5,0.5,NA,-935.6488856154031
380,kexp,2.5,4.5,1,NA,-485.4527072893118
381,kexp,2.5,4.5,1.5,NA,-339.7477156985172
382,kexp,2.5,5,0.5,NA,-844.7461851855179
383,kexp,2.5,5,1,NA,-440.8256837279436
384,kexp,2.5,5,1.5,NA,-310.54591776253665
385,kexp,2.5,6,0.5,NA,-708.6973138110636
386,kexp,2.5,6,1,NA,-374.1240177526542
387,kexp,2.5,6,1.5,NA,-266.9599869236107
388,kexp,2.5,10,0.5,NA,-438.0709039035772
389,kexp,2.5,10,1,NA,-241.84686117379673
390,kexp,2.5,10,1.5,NA,-180.79924812579523
391,kexp,2.5,50,0.5,NA,-118.64873445891533
392,kexp,2.5,50,1,NA,-87.4242050297366
393,kexp,2.5,50,1.5,NA,-81.37642975125469
394,kexp,2.5,100,0.5,NA,-80.8538404819784
395,kexp,2.5,100,1,NA,-69.87647543631236
396,kexp,2.5,100,1.5,NA,-70.57775495242396
397,kexp,3,1.5,0.5,NA,-3323.377679113846
398,kexp,3,1.5,1,NA,-1666.3521921328083
399,kexp,3,1.5,1.5,NA,-1118.3707641642166
400,kexp,3,2,0.5,NA,-2493.3599134113347
401,kexp,3,2,1,NA,-1254.5981663635157
402,kexp,3,2,1.5,NA,-846.0379851148957
403,kexp,3,3,0.5,NA,-1665.7601443509648
404,kexp,3,3,1,NA,-845.0854204126575
405,kexp,3,3,1.5,NA,-575.8875802545027
406,kexp,3,3.5,0.5,NA,-1430.0635768123761
