pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_additional,numtotal_2nd_additional,numtotal_recommended_vax,numtotal_vax_interest,proptotal_atleast1dose,proptotal_partially,proptotal_fully,proptotal_additional,proptotal_2nd_additional,proptotal_recommended_vax,proptotal_vax_interest
46,Manitoba,Manitoba,2020-12-19,All sexes,Unknown,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,f,0–15,0,0,0,,,,,0,0,0,,,,
46,Manitoba,Manitoba,2020-12-19,f,16–69,543,543,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,f,70–79,33,33,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,f,80+,0,0,0,,,,,0,0,0,,,,
46,Manitoba,Manitoba,2020-12-19,f,All ages,576,576,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,m,0–15,0,0,0,,,,,0,0,0,,,,
46,Manitoba,Manitoba,2020-12-19,m,16–69,277,277,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,m,70–79,41,41,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,m,80+,0,0,0,,,,,0,0,0,,,,
46,Manitoba,Manitoba,2020-12-19,m,All ages,318,318,0,,,,,<0.1,<0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,16–69,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,All ages,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Unknown,Unknown,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
